INVESTIGATION_ID,AddrLine,House,Street,Type,Direction
5494581,51 NORTHFIELD RD,51,NORTHFIELD,RD,
5533731,51 NORTHFIELD RD,51,NORTHFIELD,RD,
5594996,77 OAKLEY BLVD,77,OAKLEY,BLVD,
5601748,77 OAKLEY BLVD,77,OAKLEY,BLVD,
5543509,187 OAKRIDGE DR,187,OAKRIDGE,DR,
5490781,187 OAKRIDGE DR,187,OAKRIDGE,DR,
5491873,187 OAKRIDGE DR,187,OAKRIDGE,DR,
5662285,132 PANDORA CRCL,132,PANDORA,CRCL,
5652139,132 PANDORA CRCL,132,PANDORA,CRCL,
5715145,58 PARKINGTON CRES,58,PARKINGTON,CRES,
5698200,58 PARKINGTON CRES,58,PARKINGTON,CRES,
5697758,58 PARKINGTON CRES,58,PARKINGTON,CRES,
5388139,70 PENMARRIC PL,70,PENMARRIC,PL,
5415212,121 PETWORTH CRES,121,PETWORTH,CRES,
5394046,64 SHOREDALE DR,64,SHOREDALE,DR,
5510524,77 HUNTLEY ST,77,HUNTLEY,ST,
5521656,77 HUNTLEY ST,77,HUNTLEY,ST,
5529102,77 HUNTLEY ST,77,HUNTLEY,ST,
5529106,77 HUNTLEY ST,77,HUNTLEY,ST,
5514727,77 HUNTLEY ST,77,HUNTLEY,ST,
5605977,77 HUNTLEY ST,77,HUNTLEY,ST,
5710106,77 HUNTLEY ST,77,HUNTLEY,ST,
5706181,77 HUNTLEY ST,77,HUNTLEY,ST,
5731444,77 HUNTLEY ST,77,HUNTLEY,ST,
5711879,77 HUNTLEY ST,77,HUNTLEY,ST,
5719926,77 HUNTLEY ST,77,HUNTLEY,ST,
5669683,77 HUNTLEY ST,77,HUNTLEY,ST,
5669691,77 HUNTLEY ST,77,HUNTLEY,ST,
5390916,1 BLOOR ST E,1,BLOOR,ST,E
5524582,8 SULTAN ST,8,SULTAN,ST,
5372661,101 ENDERBY RD,101,ENDERBY,RD,
5498447,101 ENDERBY RD,101,ENDERBY,RD,
5548627,101 ENDERBY RD,101,ENDERBY,RD,
5483074,101 ENDERBY RD,101,ENDERBY,RD,
5498900,101 ENDERBY RD,101,ENDERBY,RD,
5496345,101 ENDERBY RD,101,ENDERBY,RD,
5533751,101 ENDERBY RD,101,ENDERBY,RD,
5588905,101 ENDERBY RD,101,ENDERBY,RD,
5545512,101 ENDERBY RD,101,ENDERBY,RD,
5670360,16 CEDARVALE AVE,16,CEDARVALE,AVE,
5360275,175 RONAN AVE,175,RONAN,AVE,
5360369,175 RONAN AVE,175,RONAN,AVE,
5512523,175 RONAN AVE,175,RONAN,AVE,
5616009,175 RONAN AVE,175,RONAN,AVE,
5616033,175 RONAN AVE,175,RONAN,AVE,
5667512,3 JENSON CRT,3,JENSON,CRT,
5594832,4 NEEDHAM DR,4,NEEDHAM,DR,
5647637,4 NEEDHAM DR,4,NEEDHAM,DR,
5588001,4 NEEDHAM DR,4,NEEDHAM,DR,
5437898,14 IXWORTH RD,14,IXWORTH,RD,
5437663,17 MOSELLE DR,17,MOSELLE,DR,
5400030,55 WOOLENSCOTE CRCL,55,WOOLENSCOTE,CRCL,
5703625,2 DORWARD DR,2,DORWARD,DR,
5450991,98 YORKVIEW DR,98,YORKVIEW,DR,
5588585,98 YORKVIEW DR,98,YORKVIEW,DR,
5370871,1524 KING ST W,1524,KING,ST,W
5629778,1524 KING ST W,1524,KING,ST,W
5568037,1524 KING ST W,1524,KING,ST,W
5647217,1524 KING ST W,1524,KING,ST,W
5691435,1524 KING ST W,1524,KING,ST,W
5436509,1521 QUEEN ST W,1521,QUEEN,ST,W
5436532,1521 QUEEN ST W,1521,QUEEN,ST,W
5527718,1521 QUEEN ST W,1521,QUEEN,ST,W
5497768,1521 QUEEN ST W,1521,QUEEN,ST,W
5496048,1521 QUEEN ST W,1521,QUEEN,ST,W
5521806,1521 QUEEN ST W,1521,QUEEN,ST,W
5550939,1521 QUEEN ST W,1521,QUEEN,ST,W
5497589,1521 QUEEN ST W,1521,QUEEN,ST,W
5530512,1521 QUEEN ST W,1521,QUEEN,ST,W
5498360,1521 QUEEN ST W,1521,QUEEN,ST,W
5533404,1521 QUEEN ST W,1521,QUEEN,ST,W
5599404,1521 QUEEN ST W,1521,QUEEN,ST,W
5599578,1521 QUEEN ST W,1521,QUEEN,ST,W
5600577,1521 QUEEN ST W,1521,QUEEN,ST,W
5641767,1521 QUEEN ST W,1521,QUEEN,ST,W
5652955,1521 QUEEN ST W,1521,QUEEN,ST,W
5688229,1521 QUEEN ST W,1521,QUEEN,ST,W
5365886,139 DOWLING AVE,139,DOWLING,AVE,
5572439,139 DOWLING AVE,139,DOWLING,AVE,
5567326,139 DOWLING AVE,139,DOWLING,AVE,
5573754,139 DOWLING AVE,139,DOWLING,AVE,
5517631,157 JAMESON AVE,157,JAMESON,AVE,
5466485,157 JAMESON AVE,157,JAMESON,AVE,
5618182,157 JAMESON AVE,157,JAMESON,AVE,
5618183,157 JAMESON AVE,157,JAMESON,AVE,
5723569,157 JAMESON AVE,157,JAMESON,AVE,
5655431,2 ELM GROVE AVE,2,ELM GROVE,AVE,
5625102,2 ELM GROVE AVE,2,ELM GROVE,AVE,
5721514,2 ELM GROVE AVE,2,ELM GROVE,AVE,
5699775,2 ELM GROVE AVE,2,ELM GROVE,AVE,
5465169,1 A ELM GROVE AVE,1 A,ELM GROVE,AVE,
5492345,1 A ELM GROVE AVE,1 A,ELM GROVE,AVE,
5492348,1 A ELM GROVE AVE,1 A,ELM GROVE,AVE,
5575209,1 A ELM GROVE AVE,1 A,ELM GROVE,AVE,
5620587,1216 ST CLAIR AVE W,1216,ST CLAIR,AVE,W
5613744,1216 ST CLAIR AVE W,1216,ST CLAIR,AVE,W
5485970,250 ST GEORGE ST,250,ST GEORGE,ST,
5434815,161 ST GEORGE ST,161,ST GEORGE,ST,
5485948,161 ST GEORGE ST,161,ST GEORGE,ST,
5687442,161 ST GEORGE ST,161,ST GEORGE,ST,
5614778,298 QUEEN ST W,298,QUEEN,ST,W
5426735,221 SPADINA AVE,221,SPADINA,AVE,
5361743,221 SPADINA AVE,221,SPADINA,AVE,
5402133,221 SPADINA AVE,221,SPADINA,AVE,
5417134,221 SPADINA AVE,221,SPADINA,AVE,
5461732,221 SPADINA AVE,221,SPADINA,AVE,
5502751,221 SPADINA AVE,221,SPADINA,AVE,
5594819,221 SPADINA AVE,221,SPADINA,AVE,
5684934,221 SPADINA AVE,221,SPADINA,AVE,
5392034,138 BOOTH AVE,138,BOOTH,AVE,
5391746,138 BOOTH AVE,138,BOOTH,AVE,
5656529,138 BOOTH AVE,138,BOOTH,AVE,
5409359,58 LEWIS ST,58,LEWIS,ST,
5381042,58 LEWIS ST,58,LEWIS,ST,
5469199,58 LEWIS ST,58,LEWIS,ST,
5413995,58 LEWIS ST,58,LEWIS,ST,
5585893,58 LEWIS ST,58,LEWIS,ST,
5668142,58 LEWIS ST,58,LEWIS,ST,
5634046,150 LONGBOAT AVE,150,LONGBOAT,AVE,
5703212,639 DANFORTH AVE,639,DANFORTH,AVE,
5684055,639 DANFORTH AVE,639,DANFORTH,AVE,
5551307,566 JONES AVE,566,JONES,AVE,
5602282,566 JONES AVE,566,JONES,AVE,
5730302,566 JONES AVE,566,JONES,AVE,
5721454,566 JONES AVE,566,JONES,AVE,
5533058,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5497706,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5543810,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5664713,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5654849,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5714932,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5675903,37 FAVERSHAM CRES,37,FAVERSHAM,CRES,
5650081,42 FAVERSHAM CRES,42,FAVERSHAM,CRES,
5703040,42 FAVERSHAM CRES,42,FAVERSHAM,CRES,
5705476,42 FAVERSHAM CRES,42,FAVERSHAM,CRES,
5464380,119 AUTUMN GLEN CRCL,119,AUTUMN GLEN,CRCL,
5434619,32 GLEN HOLLOW AVE,32,GLEN HOLLOW,AVE,
5483130,32 GLEN HOLLOW AVE,32,GLEN HOLLOW,AVE,
5528010,51 BRIARWOOD AVE,51,BRIARWOOD,AVE,
5487955,51 BRIARWOOD AVE,51,BRIARWOOD,AVE,
5619059,51 BRIARWOOD AVE,51,BRIARWOOD,AVE,
5619463,51 BRIARWOOD AVE,51,BRIARWOOD,AVE,
5437705,182 GAMMA ST,182,GAMMA,ST,
5703583,74 GIHON SPRING DR,74,GIHON SPRING,DR,
5603055,1100 LANSDOWNE AVE,1100,LANSDOWNE,AVE,
5712730,225 SHERWAY GARDENS RD,225,SHERWAY GARDENS,RD,
5701660,226 GARDEN AVE,226,GARDEN,AVE,
5532304,101 PARKSIDE DR,101,PARKSIDE,DR,
5523864,101 PARKSIDE DR,101,PARKSIDE,DR,
5401016,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5365077,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5413041,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5363636,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5366613,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5366636,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5366637,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5504851,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
