INVESTIGATION_ID,Location,Sublocation,Desc,Status
5692967,Living Room,East,"Repair does not reasonably match existing ceiling, specifically repaired area of plaster has not been sanded or re-painted.",Closed
5692967,Hall,Centre North,"Floor and/or floor covering not maintained free from trip or other hazardous condition, specifically, portions of flooring loose and insecure, no longer level and presenting trip and cut hazards.",Closed
5692967,Living Room,East,"Repair does not reasonably match existing wall, specifically, repaired area of plaster has not been sanded or re-painted.",Closed
5698124,Rear,,"The tree, plant, limb or branch, which is located on the property is dead and has not been removed or otherwise pruned to remove the dead portion.",Open
5702092,Exterior,All Yards,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to waste and refuse throughout property, including overflowing bins.",Open
5702093,Exterior,All Yards,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to waste and refuse throughout property, including overflowing bins.",Open
5702440,Main Floor,,Handrail not provided for the interior stairs of single dwelling unit that has more than two risers. Namely missing handrails on stairwell to basement,Closed
5702440,Main Floor,Bedroom,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials. Namely, damaged ceiling ",Closed
5702440,Main Floor,Bathroom,"Previously finished surface(s) where marks, stains, graffiti, and/or other defacements have been removed have not been refinished. Namely, mold in bathroom walls and around bath tub.",Closed
5702440,Main floor,Bathroom and other areas where required,"Previously finished surface(s) where marks, stains, graffiti, and/or other defacements have been removed have not been refinished. Namely, mold on baseboards",Closed
5702440,Basement,Bathroom,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials. Namely, damaged/ paint deterioration.",Closed
5702440,Basement,Bathroom,The ventilation system or unit is not regularly cleaned.,Closed
5702440,Basement,Bathrooms,"Previously finished surface(s) have marks, stains, graffiti, smoke damage, painted slogans and/or other defacements. Namely, mold",Closed
5702440,Rear Yard,,The yard is not being maintained free of weeds.,Closed
5696606,Front,Entranceway,The protective/decorative finish on the exterior surfaces is not being maintained in good repair.Namely: The brown flashing around the entrance is damaged reulting in sharp metal hazard on both sides of the front entrance.,Closed
5694503,Dwelling Unit,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely the walls and floor boards throughout the entire unit.",Open
5696606,Front South,,The exterior surface has not been restored and/or resurfacedn where necessary.Namely: A metal pipe is protruding from the ground in front of the south bench.,Closed
5694503,Dwelling Unit,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.Namely the ceiling in the bathroom and the bulkhead in the living room.",Open
5696606,Parking Area,,Lighting in parking lot is provided at less than 10 lux at ground or tread level.Namely: Parking lot exterior lights not working.,Closed
5694503,Dwelling Unit,,Interior lighting fixtures or lamps are not maintained.Namely the all lighting fixtures in the unit are not functional.,Open
5694503,Dwelling Unit,,Exterior window missing.Namely the window in the living room is missing.,Open
5694503,Kitchen,,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely the lower kitchen cabinet is missing all the drawers.",Open
5694503,Dwelling Unit,,The property is not being kept free of pests.Namely the entire unit is infested with pests.,Open
5687630,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to foodstuff packages, bottles, other loose litter and debris.",Open
5706992,Rear,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5696319,Bathroom,,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely, the toilet and the bathtub faucet are leaking, constantly running, and in disrepair. ",Open
5696763,Exterior Of Building,Throughout Property,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris not limited to A&W food packaging, and many cigarette buts.",Open
5696857,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5696917,,,"Permit refuse to be thrown, dumped, deposited on a highway within the City, namely,  garbage, wood, litter, boxes, junk on city boulevard.",Open
5702385,Bathroom,,The ventilation system or unit is not kept in good repair and maintained in good working condition at all times.Namely : Bathroom ventilation found in a state of disrepair ,Open
5702385,Bathroom,,"The floor and every appurtenance, surface cover and finish is not maintained. Namely: Bathroom floor found in a state of disrepair ",Open
5702385,Living Room,,Dwelling unit window that is capable of being opened has screen that is not maintained in good repair and free from defects or missing components.Namely: Living room window screen found in a state of disrepair ,Open
5702385,Bathroom,,The electrical switches are not maintained in a safe and complete condition.Namely: Light Switch in bathroom found in a state of disrepair ,Open
5702385,Kitchen,,The supplied appliance(s) is not maintained in good repair and good working order.  Namely: back left burner found in a state of disrepair (does not turn on),Open
5702385,Living Room,,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.Namely: main entrance door and door frame to the unit found in a state of disrepair ",Open
5702385,Bedroom,,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.Namely: Bedroom door found in a state of disrepair ",Open
5702385,Bedroom,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials. Namely: bedroom wall(s) found in a state of disrepair ",Open
5702730,Bathroom,,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely the shower head is leaking by the pipe and the overflow cover for the bathtub is missing.",Open
5702730,Kitchen,,All repairs shall be made in a good workmanlike manner.Namely the caulking between the kitchen sink and the stove along the bottom.,Open
5702730,Dwelling Unit,,The property is not being kept free of pests.,Open
